Location,Product,Size
Bakery,Bagels,1 dz
Bakery,Bread,675 g
Bakery,Buns,0.5 dz
Bakery,Tortillas,300 g
Baking Aisle,Baking Powder,200 g
Baking Aisle,Baking Soda,300 g
Baking Aisle,Brown Sugar,1 kg
Baking Aisle,Cake Mix,432 g
Baking Aisle,Cocoa,454 g
Baking Aisle,Cooking Oil,1 l
Baking Aisle,Flour,2.5 kg
Baking Aisle,Raisins,375 g
Baking Aisle,Sugar,1 kg
Beverages,Apple Juice,1.36 l
Beverages,Orange Juice,1 l
Beverages,Soft Drinks,2 l
Canned Goods,Beans,398 ml
Canned Goods,Pasta Sauce,680 ml
Canned Goods,Peaches (Canned),796 ml
Canned Goods,Soup,284 ml
Canned Goods,Tomato Sauce,1.36 l
Cereal Aisle,Breakfast Cereal,675 g
Cereal Aisle,Oatmeal,1 kg
Cereal Aisle,Pancake Mix,1 kg
Condiments,Black Pepper,100 g
Condiments,Honey,500 gm
Condiments,Jam,500 ml
Condiments,Ketchup,1 l
Condiments,Mayonnaise,890 ml
Condiments,Mustard,380 ml
Condiments,Olive Oil,750 ml
Condiments,Peanut Butter,500 g
Condiments,Salad Dressing,300 ml
Condiments,Salt,500 g
Condiments,Syrop,1 l
Dairy,Butter,454 g
Dairy,Cheese,500 g
Dairy,Cottage Cheese,500 g
Dairy,Cream,473 ml
Dairy,Cream Cheese,250 g
Dairy,Eggs,1 dz
Dairy,Margarine,454 g
Dairy,Milk,4 l
Dairy,Sour Cream,500 ml
Dairy,Yogurt,1 l
Dried Goods,Noodles,each
Dried Goods,Pasta,454 g
Dried Goods,Rice,500 g
Freezer,Corn,each
Freezer,Ice Cream ,1.66 l
Freezer,Peas,750 g
Meat,Bacon,500 g
Meat,Chicken,1 kg
Meat,Deli Meat,1 kg
Meat,Fish,1 kg
Meat,Ground Beef,1 kg
Meat,Pork Chops,1 kg
Meat,Sausages,454 g
Meat,Shrimp,340 g
Meat,Steak,1 kg
Meat,Wieners,450 g
Produce,Apples,1 kg
Produce,Avocados,each
Produce,Bananas,1 kg
Produce,Berries,1 kg
Produce,Broccoli,1 kg
Produce,Cabbage,each
Produce,Carrots,1 kg
Produce,Cauliflower,1 kg
Produce,Celery,each
Produce,Garlic,1 kg
Produce,Ginger,1 kg
Produce,Grapes,1 kg
Produce,Kale,each
Produce,Lemons,each
Produce,Lettuce,each
Produce,Lime,each
Produce,Melons,each
Produce,Mushrooms,1 kg
Produce,Onions,1 kg
Produce,Oranges,1 kg
Produce,Pears,1 kg
Produce,Peppers,1 kg
Produce,Plums,1 kg
Produce,Potatoes,1 kg
Produce,Spinach,1 kg
Produce,Strawberries,1 kg
Produce,Tomatoes,1 kg
Produce,Yams,1 kg
Produce,Zucchini,1 kg
Snacks Aisle,Coffee,300 g
Snacks Aisle,Cookies,300 g
Snacks Aisle,Crackers,450 g
Snacks Aisle,Nuts,1 kg
Snacks Aisle,Popcorn,820 gm
Snacks Aisle,Potato Chips,420 g
Snacks Aisle,Salsa,430 ml
Snacks Aisle,Taco Chips,400 g
Snacks Aisle,Tea,72 bags
